OBJECTID,Date,Latitude,Longitude,Oceans,Regions,Location,Microplastics Measurement (density),Unit,Density Range,Concentration Class,Sampling Method,Organization
16916,10/23/2019,30.352,-86.2511,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
16381,5/20/2019,30.2426,-89.425,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
19037,2/2/2021,30.3059,-89.328,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
16369,5/20/2019,29.1767,-90.0714,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
21207,5/4/2022,29.9403,-89.9951,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
12551,8/8/2015,31.000233,-140.6145,Pacific Ocean,north pacific ocean,Other,5.563262,pieces/m3,1-10,High,Manta net,"The Ocean Cleanup, Rotterdam, The Netherlands"
2758,1/15/1992,26.06,-78.02,Atlantic Ocean,north atlantic ocean,Other,0.055796,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
4928,2/14/2003,26.1,-78.61,Atlantic Ocean,north atlantic ocean,Other,0.00216,pieces/m3,0.0005-0.005,Low,Neuston net,Sea Education Association
600,5/7/1993,26.3,-78.37,Atlantic Ocean,north atlantic ocean,Other,0.00216,pieces/m3,0.0005-0.005,Low,Neuston net,Sea Education Association
729,3/26/1994,26.27,-79.03,Atlantic Ocean,north atlantic ocean,Other,0.00432,pieces/m3,0.0005-0.005,Low,Neuston net,Sea Education Association
22240,10/11/2016,27.8493,-82.4314,Atlantic Ocean,gulf of mexico,caribbean sea,10.3,pieces/m3,10,Very High,Plankton net,University of South Florida
8758,3/29/2014,13.01,-61.2434,Atlantic Ocean,caribbean sea,caribbean sea,0.003,pieces/m3,0.0005-0.005,Low,Grab sample,Adventure Scientist
6588,11/13/2003,22.76,-141.69,Pacific Ocean,north pacific ocean,Other,0.01944,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
6600,11/20/2003,20.15,-147.77,Pacific Ocean,north pacific ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
8260,10/10/2011,29.37,-139.91,Pacific Ocean,north pacific ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
7762,5/16/2009,28.54,-140.09,Pacific Ocean,north pacific ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
12539,8/7/2015,30.981832,-137.373,Pacific Ocean,north pacific ocean,Other,5.022222,pieces/m3,1-10,High,Manta net,"The Ocean Cleanup, Rotterdam, The Netherlands"
2272,4/21/2002,16.5,-85.99,Atlantic Ocean,caribbean sea,caribbean sea,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
4430,12/13/1999,11.47,-62.59,Atlantic Ocean,caribbean sea,caribbean sea,0.003812,pieces/m3,0.0005-0.005,Low,Neuston net,Sea Education Association
9385,2/28/2015,19.2,-69.33,Atlantic Ocean,north atlantic ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Grab sample,Adventure Scientist
53,12/16/1989,16.6,-66.1,Atlantic Ocean,caribbean sea,caribbean sea,0.0027,pieces/m3,0.0005-0.005,Low,Neuston net,Sea Education Association
9256,12/8/2014,14.235,-60.505,Atlantic Ocean,caribbean sea,caribbean sea,0.09,pieces/m3,0.005-1,Medium,Grab sample,Adventure Scientist
1227,12/6/1996,13.48,-61.52,Atlantic Ocean,caribbean sea,caribbean sea,0.017672,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
18055,2/2/2020,-23.9962,-46.3048,Atlantic Ocean,south atlantic ocean,Other,,pieces/10 mins,40-200,High,Hand picking,University of Texas Marine Science Institute
8652,12/7/2012,-4.5,-148.13,Pacific Ocean,south pacific ocean,galápagos,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
10324,12/4/2016,0.93032,-13.13151,Atlantic Ocean,north atlantic ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,"Institute of Marine Sciences - National Research Council, Italy"
6992,7/17/2005,19.8,-143.03,Pacific Ocean,north pacific ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
743,4/10/1994,17.52,-76.1,Atlantic Ocean,caribbean sea,caribbean sea,0.02376,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
337,3/5/1992,17.23,-77.18,Atlantic Ocean,caribbean sea,caribbean sea,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
6743,5/24/2004,33.38,-156.38,Pacific Ocean,north pacific ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
12645,8/8/2015,36.3994,-150.3816,Pacific Ocean,north pacific ocean,Other,2.080938,pieces/m3,1-10,High,Manta net,"The Ocean Cleanup, Rotterdam, The Netherlands"
12731,8/7/2015,36.413033,-153.550317,Pacific Ocean,north pacific ocean,Other,6.160555,pieces/m3,1-10,High,Manta net,"The Ocean Cleanup, Rotterdam, The Netherlands"
11071,2/2/2015,32.903333,35.071,Atlantic Ocean,mediterranean sea,Other,2.226956,pieces/m3,1-10,High,Manta net,"University of Haifa, Israel"
11649,7/5/2009,32.7388,-165.2378,Pacific Ocean,north pacific ocean,Other,1.408369,pieces/m3,1-10,High,Neuston net,5 Gyres Institute
13570,10/17/2018,54.246517,11.803533,Atlantic Ocean,baltic sea,Other,0.006735,pieces/m3,0.005-1,Medium,Manta net,"Oceaneye Association,  Switzerland"
13727,7/20/2020,75.817,17.545667,Arctic Ocean,norwegian sea,Other,0.009274,pieces/m3,0.005-1,Medium,Manta net,"Oceaneye Association,  Switzerland"
10075,11/22/2017,-37.2283,1.5823,Atlantic Ocean,south atlantic ocean,Other,24.0,pieces/m3,10,Very High,Intake seawater pump,GEOMAR Helmholtz Centre for Ocean Research Kiel
7321,4/12/2007,12.52,-156.96,Pacific Ocean,north pacific ocean,Other,0.0072,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
8317,11/19/2011,14.71,-157.43,Pacific Ocean,north pacific ocean,Other,0.0072,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
8403,3/4/2012,20.6,-154.81,Pacific Ocean,north pacific ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
2415,6/23/1987,42.98,-66.45,Atlantic Ocean,north atlantic ocean,Other,0.002964,pieces/m3,0.0005-0.005,Low,Neuston net,Sea Education Association
13321,6/15/2015,47.970833,-4.7205,Atlantic Ocean,celtic sea,Other,0.0,pieces/m3,0-0.0005,Very Low,Manta net,"Oceaneye Association,  Switzerland"
14566,11/2/2015,46.792624,-7.622545,Atlantic Ocean,north atlantic ocean,Other,1.0,pieces/m3,1-10,High,Intake seawater pump,"Galway Mayo Institute of Technology, Ireland"
14403,1/11/2022,58.255,-6.050667,Atlantic Ocean,inner seas off the west coast of scotland,Other,0.008777,pieces/m3,0.005-1,Medium,Neuston net,Marine Scotland Science
13976,1/16/2014,58.325333,-5.956,Atlantic Ocean,inner seas off the west coast of scotland,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Marine Scotland Science
14317,1/13/2020,54.711333,-4.135667,Atlantic Ocean,irish sea and st. george's channel,Other,0.019285,pieces/m3,0.005-1,Medium,Neuston net,Marine Scotland Science
1333,10/18/1997,39.63,-69.63,Atlantic Ocean,north atlantic ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
