OBJECTID;Date;Latitude;Longitude;Oceans;Regions;Location;Microplastics Measurement (density);Unit;Density Class Range;Concentration Class;Sampling Method;Short Reference;Long Reference;DOI;Organization;Keywords;NCEI Accession Number;NCEI Accession Link
9835;29/04/2016;142.280;1.188.220;Pacific Ocean;South China Sea;South China Sea;0.021000;pieces/m3;0.005-1;Medium;Grab sample;Barrows et al.2018;Barrows, A.P.W., S.E. Cathey, C.W. Petersen. 2018. Marine environment microfiber contamination: global patterns and the diversity of microparticle origins. Environ. Pollut. 237, 275?284;https://doi.org/10.1016/j.envpol.2018.02.062;Adventure Scientist;Adventure Scientist/Citizen Science;211009;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211009
10091;19/01/2018;193.505;1.208.961;Pacific Ocean;South China Sea;South China Sea;75.000.000;pieces/m3;>=10;Very High;Intake seawater pump;Tanhua et al.2020;Tanhua, T., S.B. Gutekunst, A. Biastoch. 2020. A near-synoptic survey of ocean microplastic concentration along an around-the world sailing race. PLoS ONE 15(12): e0243203;https://doi.org/10.1371/journal.pone.0243203;GEOMAR Helmholtz Centre for Ocean Research Kiel;Volvo Ocean Race/AkzoNobel/Turn the Tide on Plastic;170967;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0170967
10092;07/02/2018;215.077;1.195.477;Pacific Ocean;South China Sea;South China Sea;349.000.000;pieces/m3;>=10;Very High;Intake seawater pump;Tanhua et al.2020;Tanhua, T., S.B. Gutekunst, A. Biastoch. 2020. A near-synoptic survey of ocean microplastic concentration along an around-the world sailing race. PLoS ONE 15(12): e0243203;https://doi.org/10.1371/journal.pone.0243203;GEOMAR Helmholtz Centre for Ocean Research Kiel;Volvo Ocean Race/AkzoNobel/Turn the Tide on Plastic;170967;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0170967
11318;07/10/2018;144.083;1.208.462;Pacific Ocean;South China Sea;South China Sea;1.580.000.000;pieces/m3;>=10;Very High;Surface water intake;Osorio et al.2021;Osorio, E. D., M.A.N. Tanchuling, M.B.L.D. Diola. 2021. Microplastics Occurrence in Surface Waters and Sediments in Five River Mouths of Manila Bay. Frontiers in Environmental Science 9, 719274. https://doi.org/10.3389/fenvs.2021.719274;https://doi.org/10.3389/fenvs.2021.719274;University of the Philippines Diliman;Manila Bay;271964;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:271964
11319;10/11/2018;145.937;1.209.571;Pacific Ocean;South China Sea;South China Sea;3.405.000.000;pieces/m3;>=10;Very High;Surface water intake;Osorio et al.2021;Osorio, E. D., M.A.N. Tanchuling, M.B.L.D. Diola. 2021. Microplastics Occurrence in Surface Waters and Sediments in Five River Mouths of Manila Bay. Frontiers in Environmental Science 9, 719274. https://doi.org/10.3389/fenvs.2021.719274;https://doi.org/10.3389/fenvs.2021.719274;University of the Philippines Diliman;Manila Bay;271964;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:271964
11320;19/01/2019;146.498;1.209.487;Pacific Ocean;South China Sea;South China Sea;11.475.000.000;pieces/m3;>=10;Very High;Surface water intake;Osorio et al.2021;Osorio, E. D., M.A.N. Tanchuling, M.B.L.D. Diola. 2021. Microplastics Occurrence in Surface Waters and Sediments in Five River Mouths of Manila Bay. Frontiers in Environmental Science 9, 719274. https://doi.org/10.3389/fenvs.2021.719274;https://doi.org/10.3389/fenvs.2021.719274;University of the Philippines Diliman;Manila Bay;271964;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:271964
11321;23/01/2019;145.023;1.209.893;Pacific Ocean;South China Sea;South China Sea;5.015.000.000;pieces/m3;>=10;Very High;Surface water intake;Osorio et al.2021;Osorio, E. D., M.A.N. Tanchuling, M.B.L.D. Diola. 2021. Microplastics Occurrence in Surface Waters and Sediments in Five River Mouths of Manila Bay. Frontiers in Environmental Science 9, 719274. https://doi.org/10.3389/fenvs.2021.719274;https://doi.org/10.3389/fenvs.2021.719274;University of the Philippines Diliman;Manila Bay;271964;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:271964
11322;11/02/2019;147.484;1.209.105;Pacific Ocean;South China Sea;South China Sea;57.665.000.000;pieces/m3;>=10;Very High;Surface water intake;Osorio et al.2021;Osorio, E. D., M.A.N. Tanchuling, M.B.L.D. Diola. 2021. Microplastics Occurrence in Surface Waters and Sediments in Five River Mouths of Manila Bay. Frontiers in Environmental Science 9, 719274. https://doi.org/10.3389/fenvs.2021.719274;https://doi.org/10.3389/fenvs.2021.719274;University of the Philippines Diliman;Manila Bay;271964;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:271964
12228;24/09/2017;210.236;1.199.733;Pacific Ocean;South China Sea;South China Sea;0.007427;pieces/m3;0.005-1;Medium;Manta net;Pan et al.2019;Pan, Z., H. Guo, H. Chen, S. Wang, X. Sun, Q. Zou, Y. Zhang, H. Lin, S. Cai, J. Huang. 2019. Microplastics in the Northwestern Pacific: Abundance, distribution, and characteristics. Science of the Total Environment 650: 1913-1922. https://doi.org/10.1016/j.scitotenv.2018.09.244;https://doi.org/10.1016/j.scitotenv.2018.09.244;Third Institute of Oceanography, Xiamen, China;;276021;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276021
12229;24/09/2017;209.969;1.194.892;Pacific Ocean;South China Sea;South China Sea;0.063767;pieces/m3;0.005-1;Medium;Manta net;Pan et al.2019;Pan, Z., H. Guo, H. Chen, S. Wang, X. Sun, Q. Zou, Y. Zhang, H. Lin, S. Cai, J. Huang. 2019. Microplastics in the Northwestern Pacific: Abundance, distribution, and characteristics. Science of the Total Environment 650: 1913-1922. https://doi.org/10.1016/j.scitotenv.2018.09.244;https://doi.org/10.1016/j.scitotenv.2018.09.244;Third Institute of Oceanography, Xiamen, China;;276021;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276021
12230;24/09/2017;210.083;1.189.903;Pacific Ocean;South China Sea;South China Sea;0.096400;pieces/m3;0.005-1;Medium;Manta net;Pan et al.2019;Pan, Z., H. Guo, H. Chen, S. Wang, X. Sun, Q. Zou, Y. Zhang, H. Lin, S. Cai, J. Huang. 2019. Microplastics in the Northwestern Pacific: Abundance, distribution, and characteristics. Science of the Total Environment 650: 1913-1922. https://doi.org/10.1016/j.scitotenv.2018.09.244;https://doi.org/10.1016/j.scitotenv.2018.09.244;Third Institute of Oceanography, Xiamen, China;;276021;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276021
13016;08/08/2018;220.992;1.138.578;Pacific Ocean;South China Sea;South China Sea;1.052.000.000;pieces/m3;>=10;Very High;Stainless steel bucket;Xu et al.2022;Xu, S., L. Chen, K. Zhang, Y. Cao, Y. Ma, H. S. Chau, D. Tao, C. Wu, C. Li, P.K.S. Lam. 2022. Microplastic occurrence in the northern South China Sea, A case for Pre and Post cyclone analysis. Chemosphere 296, 133980. https://doi.org/10.1016/j.chemosphere.2022.133980. ;https://doi.org/10.1016/j.chemosphere.2022.133980;City University of Hong Kong;;276267;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276267
13017;08/08/2018;219.909;1.138.984;Pacific Ocean;South China Sea;South China Sea;1.001.000.000;pieces/m3;>=10;Very High;Stainless steel bucket;Xu et al.2022;Xu, S., L. Chen, K. Zhang, Y. Cao, Y. Ma, H. S. Chau, D. Tao, C. Wu, C. Li, P.K.S. Lam. 2022. Microplastic occurrence in the northern South China Sea, A case for Pre and Post cyclone analysis. Chemosphere 296, 133980. https://doi.org/10.1016/j.chemosphere.2022.133980. ;https://doi.org/10.1016/j.chemosphere.2022.133980;City University of Hong Kong;;276267;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276267
13018;08/08/2018;218.549;1.139.551;Pacific Ocean;South China Sea;South China Sea;1.104.000.000;pieces/m3;>=10;Very High;Stainless steel bucket;Xu et al.2022;Xu, S., L. Chen, K. Zhang, Y. Cao, Y. Ma, H. S. Chau, D. Tao, C. Wu, C. Li, P.K.S. Lam. 2022. Microplastic occurrence in the northern South China Sea, A case for Pre and Post cyclone analysis. Chemosphere 296, 133980. https://doi.org/10.1016/j.chemosphere.2022.133980. ;https://doi.org/10.1016/j.chemosphere.2022.133980;City University of Hong Kong;;276267;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276267
13019;10/08/2018;218.542;1.137.184;Pacific Ocean;South China Sea;South China Sea;1.489.000.000;pieces/m3;>=10;Very High;Stainless steel bucket;Xu et al.2022;Xu, S., L. Chen, K. Zhang, Y. Cao, Y. Ma, H. S. Chau, D. Tao, C. Wu, C. Li, P.K.S. Lam. 2022. Microplastic occurrence in the northern South China Sea, A case for Pre and Post cyclone analysis. Chemosphere 296, 133980. https://doi.org/10.1016/j.chemosphere.2022.133980. ;https://doi.org/10.1016/j.chemosphere.2022.133980;City University of Hong Kong;;276267;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276267
13020;10/08/2018;218.192;1.131.246;Pacific Ocean;South China Sea;South China Sea;667.000.000;pieces/m3;>=10;Very High;Stainless steel bucket;Xu et al.2022;Xu, S., L. Chen, K. Zhang, Y. Cao, Y. Ma, H. S. Chau, D. Tao, C. Wu, C. Li, P.K.S. Lam. 2022. Microplastic occurrence in the northern South China Sea, A case for Pre and Post cyclone analysis. Chemosphere 296, 133980. https://doi.org/10.1016/j.chemosphere.2022.133980. ;https://doi.org/10.1016/j.chemosphere.2022.133980;City University of Hong Kong;;276267;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276267
13021;10/08/2018;216.951;1.131.895;Pacific Ocean;South China Sea;South China Sea;898.000.000;pieces/m3;>=10;Very High;Stainless steel bucket;Xu et al.2022;Xu, S., L. Chen, K. Zhang, Y. Cao, Y. Ma, H. S. Chau, D. Tao, C. Wu, C. Li, P.K.S. Lam. 2022. Microplastic occurrence in the northern South China Sea, A case for Pre and Post cyclone analysis. Chemosphere 296, 133980. https://doi.org/10.1016/j.chemosphere.2022.133980. ;https://doi.org/10.1016/j.chemosphere.2022.133980;City University of Hong Kong;;276267;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276267
13022;10/08/2018;215.606;1.132.469;Pacific Ocean;South China Sea;South China Sea;1.001.000.000;pieces/m3;>=10;Very High;Stainless steel bucket;Xu et al.2022;Xu, S., L. Chen, K. Zhang, Y. Cao, Y. Ma, H. S. Chau, D. Tao, C. Wu, C. Li, P.K.S. Lam. 2022. Microplastic occurrence in the northern South China Sea, A case for Pre and Post cyclone analysis. Chemosphere 296, 133980. https://doi.org/10.1016/j.chemosphere.2022.133980. ;https://doi.org/10.1016/j.chemosphere.2022.133980;City University of Hong Kong;;276267;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276267
13023;10/08/2018;219.191;1.133.833;Pacific Ocean;South China Sea;South China Sea;539.000.000;pieces/m3;>=10;Very High;Stainless steel bucket;Xu et al.2022;Xu, S., L. Chen, K. Zhang, Y. Cao, Y. Ma, H. S. Chau, D. Tao, C. Wu, C. Li, P.K.S. Lam. 2022. Microplastic occurrence in the northern South China Sea, A case for Pre and Post cyclone analysis. Chemosphere 296, 133980. https://doi.org/10.1016/j.chemosphere.2022.133980. ;https://doi.org/10.1016/j.chemosphere.2022.133980;City University of Hong Kong;;276267;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276267
13024;10/08/2018;218.254;1.134.293;Pacific Ocean;South China Sea;South China Sea;719.000.000;pieces/m3;>=10;Very High;Stainless steel bucket;Xu et al.2022;Xu, S., L. Chen, K. Zhang, Y. Cao, Y. Ma, H. S. Chau, D. Tao, C. Wu, C. Li, P.K.S. Lam. 2022. Microplastic occurrence in the northern South China Sea, A case for Pre and Post cyclone analysis. Chemosphere 296, 133980. https://doi.org/10.1016/j.chemosphere.2022.133980. ;https://doi.org/10.1016/j.chemosphere.2022.133980;City University of Hong Kong;;276267;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276267
13025;10/08/2018;217.489;1.134.636;Pacific Ocean;South China Sea;South China Sea;667.000.000;pieces/m3;>=10;Very High;Stainless steel bucket;Xu et al.2022;Xu, S., L. Chen, K. Zhang, Y. Cao, Y. Ma, H. S. Chau, D. Tao, C. Wu, C. Li, P.K.S. Lam. 2022. Microplastic occurrence in the northern South China Sea, A case for Pre and Post cyclone analysis. Chemosphere 296, 133980. https://doi.org/10.1016/j.chemosphere.2022.133980. ;https://doi.org/10.1016/j.chemosphere.2022.133980;City University of Hong Kong;;276267;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276267
13026;09/08/2018;219.929;1.135.471;Pacific Ocean;South China Sea;South China Sea;719.000.000;pieces/m3;>=10;Very High;Stainless steel bucket;Xu et al.2022;Xu, S., L. Chen, K. Zhang, Y. Cao, Y. Ma, H. S. Chau, D. Tao, C. Wu, C. Li, P.K.S. Lam. 2022. Microplastic occurrence in the northern South China Sea, A case for Pre and Post cyclone analysis. Chemosphere 296, 133980. https://doi.org/10.1016/j.chemosphere.2022.133980. ;https://doi.org/10.1016/j.chemosphere.2022.133980;City University of Hong Kong;;276267;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276267
13027;09/08/2018;219.200;1.136.889;Pacific Ocean;South China Sea;South China Sea;873.000.000;pieces/m3;>=10;Very High;Stainless steel bucket;Xu et al.2022;Xu, S., L. Chen, K. Zhang, Y. Cao, Y. Ma, H. S. Chau, D. Tao, C. Wu, C. Li, P.K.S. Lam. 2022. Microplastic occurrence in the northern South China Sea, A case for Pre and Post cyclone analysis. Chemosphere 296, 133980. https://doi.org/10.1016/j.chemosphere.2022.133980. ;https://doi.org/10.1016/j.chemosphere.2022.133980;City University of Hong Kong;;276267;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276267
13028;09/08/2018;219.827;1.136.507;Pacific Ocean;South China Sea;South China Sea;2.053.000.000;pieces/m3;>=10;Very High;Stainless steel bucket;Xu et al.2022;Xu, S., L. Chen, K. Zhang, Y. Cao, Y. Ma, H. S. Chau, D. Tao, C. Wu, C. Li, P.K.S. Lam. 2022. Microplastic occurrence in the northern South China Sea, A case for Pre and Post cyclone analysis. Chemosphere 296, 133980. https://doi.org/10.1016/j.chemosphere.2022.133980. ;https://doi.org/10.1016/j.chemosphere.2022.133980;City University of Hong Kong;;276267;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276267
13029;09/08/2018;220.988;1.136.529;Pacific Ocean;South China Sea;South China Sea;1.309.000.000;pieces/m3;>=10;Very High;Stainless steel bucket;Xu et al.2022;Xu, S., L. Chen, K. Zhang, Y. Cao, Y. Ma, H. S. Chau, D. Tao, C. Wu, C. Li, P.K.S. Lam. 2022. Microplastic occurrence in the northern South China Sea, A case for Pre and Post cyclone analysis. Chemosphere 296, 133980. https://doi.org/10.1016/j.chemosphere.2022.133980. ;https://doi.org/10.1016/j.chemosphere.2022.133980;City University of Hong Kong;;276267;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276267
13030;09/08/2018;219.108;1.135.875;Pacific Ocean;South China Sea;South China Sea;1.052.000.000;pieces/m3;>=10;Very High;Stainless steel bucket;Xu et al.2022;Xu, S., L. Chen, K. Zhang, Y. Cao, Y. Ma, H. S. Chau, D. Tao, C. Wu, C. Li, P.K.S. Lam. 2022. Microplastic occurrence in the northern South China Sea, A case for Pre and Post cyclone analysis. Chemosphere 296, 133980. https://doi.org/10.1016/j.chemosphere.2022.133980. ;https://doi.org/10.1016/j.chemosphere.2022.133980;City University of Hong Kong;;276267;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276267
13031;09/08/2018;218.316;1.136.262;Pacific Ocean;South China Sea;South China Sea;2.079.000.000;pieces/m3;>=10;Very High;Stainless steel bucket;Xu et al.2022;Xu, S., L. Chen, K. Zhang, Y. Cao, Y. Ma, H. S. Chau, D. Tao, C. Wu, C. Li, P.K.S. Lam. 2022. Microplastic occurrence in the northern South China Sea, A case for Pre and Post cyclone analysis. Chemosphere 296, 133980. https://doi.org/10.1016/j.chemosphere.2022.133980. ;https://doi.org/10.1016/j.chemosphere.2022.133980;City University of Hong Kong;;276267;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276267
13032;08/08/2018;221.858;1.136.999;Pacific Ocean;South China Sea;South China Sea;898.000.000;pieces/m3;>=10;Very High;Stainless steel bucket;Xu et al.2022;Xu, S., L. Chen, K. Zhang, Y. Cao, Y. Ma, H. S. Chau, D. Tao, C. Wu, C. Li, P.K.S. Lam. 2022. Microplastic occurrence in the northern South China Sea, A case for Pre and Post cyclone analysis. Chemosphere 296, 133980. https://doi.org/10.1016/j.chemosphere.2022.133980. ;https://doi.org/10.1016/j.chemosphere.2022.133980;City University of Hong Kong;;276267;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276267
