OBJECTID,Date,Latitude,Longitude,Oceans,Regions,Location,Microplastics Measurement (density),Unit,Density Class Range,Concentration Class,Sampling Method,Short Reference,Long Reference,DOI,Organization,Keywords,NCEI Accession Number,NCEI Accession Link,Density Center
21476,19/03/2020,-20.1416,148.8145,Pacific Ocean,Coral Sea,Great Barrier Reef,0.057093,pieces/m3,0.005-1,Medium,Manta net,Carbery et al. 2022,"Carbery, M., F. Herb, J. Reynes, C. K. Pham, W-K. Fong, R. Lehner. 2022. How small is the big problem? Small microplastics <300 μm abundant in marine surface waters of the Great Barrier Reef Marine Park. Marine Pollution Bulletin 184, 114179. https://doi.org/10.1016/j.marpolbul.2022.114179.",https://doi.org/10.1016/j.marpolbul.2022.114179,"University of Newcastle, Australia",Sail and Explore Association,279321,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:279321,0.5025
21477,19/03/2020,-20.1205,148.8760,Pacific Ocean,Coral Sea,Great Barrier Reef,0.118492,pieces/m3,0.005-1,Medium,Manta net,Carbery et al. 2022,"Carbery, M., F. Herb, J. Reynes, C. K. Pham, W-K. Fong, R. Lehner. 2022. How small is the big problem? Small microplastics <300 μm abundant in marine surface waters of the Great Barrier Reef Marine Park. Marine Pollution Bulletin 184, 114179. https://doi.org/10.1016/j.marpolbul.2022.114179.",https://doi.org/10.1016/j.marpolbul.2022.114179,"University of Newcastle, Australia",Sail and Explore Association,279321,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:279321,0.5025
21478,20/03/2020,-20.1026,148.8581,Pacific Ocean,Coral Sea,Great Barrier Reef,0.035978,pieces/m3,0.005-1,Medium,Manta net,Carbery et al. 2022,"Carbery, M., F. Herb, J. Reynes, C. K. Pham, W-K. Fong, R. Lehner. 2022. How small is the big problem? Small microplastics <300 μm abundant in marine surface waters of the Great Barrier Reef Marine Park. Marine Pollution Bulletin 184, 114179. https://doi.org/10.1016/j.marpolbul.2022.114179.",https://doi.org/10.1016/j.marpolbul.2022.114179,"University of Newcastle, Australia",Sail and Explore Association,279321,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:279321,0.5025
21479,20/03/2020,-20.2345,148.7407,Pacific Ocean,Coral Sea,Great Barrier Reef,0.067601,pieces/m3,0.005-1,Medium,Manta net,Carbery et al. 2022,"Carbery, M., F. Herb, J. Reynes, C. K. Pham, W-K. Fong, R. Lehner. 2022. How small is the big problem? Small microplastics <300 μm abundant in marine surface waters of the Great Barrier Reef Marine Park. Marine Pollution Bulletin 184, 114179. https://doi.org/10.1016/j.marpolbul.2022.114179.",https://doi.org/10.1016/j.marpolbul.2022.114179,"University of Newcastle, Australia",Sail and Explore Association,279321,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:279321,0.5025
21480,22/03/2020,-20.1709,148.8286,Pacific Ocean,Coral Sea,Great Barrier Reef,0.026423,pieces/m3,0.005-1,Medium,Manta net,Carbery et al. 2022,"Carbery, M., F. Herb, J. Reynes, C. K. Pham, W-K. Fong, R. Lehner. 2022. How small is the big problem? Small microplastics <300 μm abundant in marine surface waters of the Great Barrier Reef Marine Park. Marine Pollution Bulletin 184, 114179. https://doi.org/10.1016/j.marpolbul.2022.114179.",https://doi.org/10.1016/j.marpolbul.2022.114179,"University of Newcastle, Australia",Sail and Explore Association,279321,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:279321,0.5025
21481,22/03/2020,-20.2514,148.9329,Pacific Ocean,Coral Sea,Great Barrier Reef,0.02781,pieces/m3,0.005-1,Medium,Manta net,Carbery et al. 2022,"Carbery, M., F. Herb, J. Reynes, C. K. Pham, W-K. Fong, R. Lehner. 2022. How small is the big problem? Small microplastics <300 μm abundant in marine surface waters of the Great Barrier Reef Marine Park. Marine Pollution Bulletin 184, 114179. https://doi.org/10.1016/j.marpolbul.2022.114179.",https://doi.org/10.1016/j.marpolbul.2022.114179,"University of Newcastle, Australia",Sail and Explore Association,279321,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:279321,0.5025
21482,23/03/2020,-20.2765,148.9170,Pacific Ocean,Coral Sea,Great Barrier Reef,0.043204,pieces/m3,0.005-1,Medium,Manta net,Carbery et al. 2022,"Carbery, M., F. Herb, J. Reynes, C. K. Pham, W-K. Fong, R. Lehner. 2022. How small is the big problem? Small microplastics <300 μm abundant in marine surface waters of the Great Barrier Reef Marine Park. Marine Pollution Bulletin 184, 114179. https://doi.org/10.1016/j.marpolbul.2022.114179.",https://doi.org/10.1016/j.marpolbul.2022.114179,"University of Newcastle, Australia",Sail and Explore Association,279321,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:279321,0.5025
21483,23/03/2020,-20.2281,148.7833,Pacific Ocean,Coral Sea,Great Barrier Reef,0.034875,pieces/m3,0.005-1,Medium,Manta net,Carbery et al. 2022,"Carbery, M., F. Herb, J. Reynes, C. K. Pham, W-K. Fong, R. Lehner. 2022. How small is the big problem? Small microplastics <300 μm abundant in marine surface waters of the Great Barrier Reef Marine Park. Marine Pollution Bulletin 184, 114179. https://doi.org/10.1016/j.marpolbul.2022.114179.",https://doi.org/10.1016/j.marpolbul.2022.114179,"University of Newcastle, Australia",Sail and Explore Association,279321,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:279321,0.5025
21484,24/03/2020,-20.3456,148.8388,Pacific Ocean,Coral Sea,Great Barrier Reef,0.080216,pieces/m3,0.005-1,Medium,Manta net,Carbery et al. 2022,"Carbery, M., F. Herb, J. Reynes, C. K. Pham, W-K. Fong, R. Lehner. 2022. How small is the big problem? Small microplastics <300 μm abundant in marine surface waters of the Great Barrier Reef Marine Park. Marine Pollution Bulletin 184, 114179. https://doi.org/10.1016/j.marpolbul.2022.114179.",https://doi.org/10.1016/j.marpolbul.2022.114179,"University of Newcastle, Australia",Sail and Explore Association,279321,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:279321,0.5025
21485,24/03/2020,-20.3401,148.8416,Pacific Ocean,Coral Sea,Great Barrier Reef,0.010693,pieces/m3,0.005-1,Medium,Manta net,Carbery et al. 2022,"Carbery, M., F. Herb, J. Reynes, C. K. Pham, W-K. Fong, R. Lehner. 2022. How small is the big problem? Small microplastics <300 μm abundant in marine surface waters of the Great Barrier Reef Marine Park. Marine Pollution Bulletin 184, 114179. https://doi.org/10.1016/j.marpolbul.2022.114179.",https://doi.org/10.1016/j.marpolbul.2022.114179,"University of Newcastle, Australia",Sail and Explore Association,279321,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:279321,0.5025
