OBJECTID;Date;Latitude;Longitude;Oceans;Regions;Location;Microplastics Measurement (density);Unit;Density Range;Concentration Class;Sampling Method;Short Reference;Long Reference;DOI;Organization;;NCEI Accession Number;NCEI Accession Link;;;Density Center
12184;11/10/2017;-1,5;-890.000;Pacific Ocean;Gal�pagos;Gal�pagos;0.78;pieces/m3;0.005-1;Medium;Plankton net;Alfaro-Núñez et al.2021;Alfaro-Núñez, A., D. Astorga, L. Cáceres-Farías, L. Bastidas, C. S. Villegas, K. C. Macay, J. H. Christensen. 2021. Microplastic pollution in seawater and marine organisms across the Tropical Eastern Pacific and Galápagos. Scientific Report 11, 6424. https://doi.org/10.1038/s41598-021-85939-3;https://doi.org/10.1038/s41598-021-85939-3;University of Copenhagen, Denmark;;276018;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276018;;;0.5025
12185;11/10/2017;-1;-890.000;Pacific Ocean;Gal�pagos;Gal�pagos;0.42;pieces/m3;0.005-1;Medium;Plankton net;Alfaro-Núñez et al.2021;Alfaro-Núñez, A., D. Astorga, L. Cáceres-Farías, L. Bastidas, C. S. Villegas, K. C. Macay, J. H. Christensen. 2021. Microplastic pollution in seawater and marine organisms across the Tropical Eastern Pacific and Galápagos. Scientific Report 11, 6424. https://doi.org/10.1038/s41598-021-85939-3;https://doi.org/10.1038/s41598-021-85939-3;University of Copenhagen, Denmark;;276018;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276018;;;0.5025
12186;12/10/2017;-0.9000;-902.500;Pacific Ocean;Gal�pagos;Gal�pagos;0.19;pieces/m3;0.005-1;Medium;Plankton net;Alfaro-Núñez et al.2021;Alfaro-Núñez, A., D. Astorga, L. Cáceres-Farías, L. Bastidas, C. S. Villegas, K. C. Macay, J. H. Christensen. 2021. Microplastic pollution in seawater and marine organisms across the Tropical Eastern Pacific and Galápagos. Scientific Report 11, 6424. https://doi.org/10.1038/s41598-021-85939-3;https://doi.org/10.1038/s41598-021-85939-3;University of Copenhagen, Denmark;;276018;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276018;;;0.5025
12187;15/10/2017;-0.7100;-906.500;Pacific Ocean;Gal�pagos;Gal�pagos;0.47;pieces/m3;0.005-1;Medium;Plankton net;Alfaro-Núñez et al.2021;Alfaro-Núñez, A., D. Astorga, L. Cáceres-Farías, L. Bastidas, C. S. Villegas, K. C. Macay, J. H. Christensen. 2021. Microplastic pollution in seawater and marine organisms across the Tropical Eastern Pacific and Galápagos. Scientific Report 11, 6424. https://doi.org/10.1038/s41598-021-85939-3;https://doi.org/10.1038/s41598-021-85939-3;University of Copenhagen, Denmark;;276018;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276018;;;0.5025
12188;16/10/2017;-1,3;-910.000;Pacific Ocean;Gal�pagos;Gal�pagos;0.42;pieces/m3;0.005-1;Medium;Plankton net;Alfaro-Núñez et al.2021;Alfaro-Núñez, A., D. Astorga, L. Cáceres-Farías, L. Bastidas, C. S. Villegas, K. C. Macay, J. H. Christensen. 2021. Microplastic pollution in seawater and marine organisms across the Tropical Eastern Pacific and Galápagos. Scientific Report 11, 6424. https://doi.org/10.1038/s41598-021-85939-3;https://doi.org/10.1038/s41598-021-85939-3;University of Copenhagen, Denmark;;276018;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276018;;;0.5025
12190;18/10/2017;-1,5;-920.000;Pacific Ocean;Gal�pagos;Gal�pagos;0.42;pieces/m3;0.005-1;Medium;Plankton net;Alfaro-Núñez et al.2021;Alfaro-Núñez, A., D. Astorga, L. Cáceres-Farías, L. Bastidas, C. S. Villegas, K. C. Macay, J. H. Christensen. 2021. Microplastic pollution in seawater and marine organisms across the Tropical Eastern Pacific and Galápagos. Scientific Report 11, 6424. https://doi.org/10.1038/s41598-021-85939-3;https://doi.org/10.1038/s41598-021-85939-3;University of Copenhagen, Denmark;;276018;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276018;;;0.5025
12191;18/10/2017;-1;-920.000;Pacific Ocean;Gal�pagos;Gal�pagos;0.54;pieces/m3;0.005-1;Medium;Plankton net;Alfaro-Núñez et al.2021;Alfaro-Núñez, A., D. Astorga, L. Cáceres-Farías, L. Bastidas, C. S. Villegas, K. C. Macay, J. H. Christensen. 2021. Microplastic pollution in seawater and marine organisms across the Tropical Eastern Pacific and Galápagos. Scientific Report 11, 6424. https://doi.org/10.1038/s41598-021-85939-3;https://doi.org/10.1038/s41598-021-85939-3;University of Copenhagen, Denmark;;276018;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276018;;;0.5025
12192;19/10/2017;-0.5000;-920.000;Pacific Ocean;Gal�pagos;Gal�pagos;0.49;pieces/m3;0.005-1;Medium;Plankton net;Alfaro-Núñez et al.2021;Alfaro-Núñez, A., D. Astorga, L. Cáceres-Farías, L. Bastidas, C. S. Villegas, K. C. Macay, J. H. Christensen. 2021. Microplastic pollution in seawater and marine organisms across the Tropical Eastern Pacific and Galápagos. Scientific Report 11, 6424. https://doi.org/10.1038/s41598-021-85939-3;https://doi.org/10.1038/s41598-021-85939-3;University of Copenhagen, Denmark;;276018;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276018;;;0.5025
12193;19/10/2017;0.0000;-920.000;Pacific Ocean;Gal�pagos;Gal�pagos;0.22;pieces/m3;0.005-1;Medium;Plankton net;Alfaro-Núñez et al.2021;Alfaro-Núñez, A., D. Astorga, L. Cáceres-Farías, L. Bastidas, C. S. Villegas, K. C. Macay, J. H. Christensen. 2021. Microplastic pollution in seawater and marine organisms across the Tropical Eastern Pacific and Galápagos. Scientific Report 11, 6424. https://doi.org/10.1038/s41598-021-85939-3;https://doi.org/10.1038/s41598-021-85939-3;University of Copenhagen, Denmark;;276018;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276018;;;0.5025
12194;19/10/2017;0.5000;-920.000;Pacific Ocean;Gal�pagos;Gal�pagos;0.38;pieces/m3;0.005-1;Medium;Plankton net;Alfaro-Núñez et al.2021;Alfaro-Núñez, A., D. Astorga, L. Cáceres-Farías, L. Bastidas, C. S. Villegas, K. C. Macay, J. H. Christensen. 2021. Microplastic pollution in seawater and marine organisms across the Tropical Eastern Pacific and Galápagos. Scientific Report 11, 6424. https://doi.org/10.1038/s41598-021-85939-3;https://doi.org/10.1038/s41598-021-85939-3;University of Copenhagen, Denmark;;276018;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276018;;;0.5025
12200;25/10/2017;0.5000;-890.000;Pacific Ocean;Gal�pagos;Gal�pagos;0.62;pieces/m3;0.005-1;Medium;Plankton net;Alfaro-Núñez et al.2021;Alfaro-Núñez, A., D. Astorga, L. Cáceres-Farías, L. Bastidas, C. S. Villegas, K. C. Macay, J. H. Christensen. 2021. Microplastic pollution in seawater and marine organisms across the Tropical Eastern Pacific and Galápagos. Scientific Report 11, 6424. https://doi.org/10.1038/s41598-021-85939-3;https://doi.org/10.1038/s41598-021-85939-3;University of Copenhagen, Denmark;;276018;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276018;;;0.5025
12201;25/10/2017;0.0000;-890.000;Pacific Ocean;Gal�pagos;Gal�pagos;0.47;pieces/m3;0.005-1;Medium;Plankton net;Alfaro-Núñez et al.2021;Alfaro-Núñez, A., D. Astorga, L. Cáceres-Farías, L. Bastidas, C. S. Villegas, K. C. Macay, J. H. Christensen. 2021. Microplastic pollution in seawater and marine organisms across the Tropical Eastern Pacific and Galápagos. Scientific Report 11, 6424. https://doi.org/10.1038/s41598-021-85939-3;https://doi.org/10.1038/s41598-021-85939-3;University of Copenhagen, Denmark;;276018;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276018;;;0.5025
12202;26/10/2017;-0.5000;-890.000;Pacific Ocean;Gal�pagos;Gal�pagos;0.51;pieces/m3;0.005-1;Medium;Plankton net;Alfaro-Núñez et al.2021;Alfaro-Núñez, A., D. Astorga, L. Cáceres-Farías, L. Bastidas, C. S. Villegas, K. C. Macay, J. H. Christensen. 2021. Microplastic pollution in seawater and marine organisms across the Tropical Eastern Pacific and Galápagos. Scientific Report 11, 6424. https://doi.org/10.1038/s41598-021-85939-3;https://doi.org/10.1038/s41598-021-85939-3;University of Copenhagen, Denmark;;276018;https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276018;;;0.5025
